epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,220.189,0.86694,0.86375,1,0.3772,0.000366125,0.000366125,0.000366125
2,415.174,0.43826,0.87375,1,0.35091,0.000663549,0.000663549,0.000663549
3,605.838,0.40952,0.91125,1,0.26996,0.000887647,0.000887647,0.000887647
4,789.869,0.40298,0.9325,1,0.18259,0.000781033,0.000781033,0.000781033
5,973.628,0.3299,0.93125,1,0.20076,0.000671044,0.000671044,0.000671044
6,1156.74,0.24838,0.98375,1,0.05734,0.000561055,0.000561055,0.000561055
7,1332.98,0.20158,0.98125,1,0.05633,0.000451066,0.000451066,0.000451066
8,1503.66,0.16509,0.985,1,0.04119,0.000341077,0.000341077,0.000341077
9,1673.56,0.14743,0.9875,1,0.03758,0.000231088,0.000231088,0.000231088
10,1842.36,0.14045,0.99125,1,0.02822,0.000121099,0.000121099,0.000121099
