epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1621.1,0.75518,0.905,1,0.25047,0.000366125,0.000366125,0.000366125
2,1785.03,0.44234,0.81125,1,0.55714,0.000700004,0.000700004,0.000700004
3,1949.6,0.44091,0.8325,1,0.50101,0.000997219,0.000997219,0.000997219
4,2121.34,0.44413,0.82125,1,0.47767,0.000946016,0.000946016,0.000946016
5,2287.53,0.36313,0.9525,1,0.13618,0.000891022,0.000891022,0.000891022
6,2455,0.31581,0.9475,1,0.14317,0.000836027,0.000836027,0.000836027
7,2622.31,0.29015,0.9575,1,0.12558,0.000781033,0.000781033,0.000781033
8,2783.39,0.24505,0.9675,1,0.09474,0.000726038,0.000726038,0.000726038
9,2946.43,0.22885,0.97375,1,0.06621,0.000671044,0.000671044,0.000671044
10,3115.12,0.212,0.96875,1,0.10002,0.000616049,0.000616049,0.000616049
11,3283.43,0.1815,0.98125,1,0.04798,0.000561055,0.000561055,0.000561055
12,3439.72,0.18288,0.9825,1,0.04905,0.00050606,0.00050606,0.00050606
13,3596.18,0.14708,0.97,1,0.07604,0.000451066,0.000451066,0.000451066
14,3751.12,0.15308,0.98875,1,0.02975,0.000396071,0.000396071,0.000396071
15,3907.83,0.12189,0.99,1,0.02587,0.000341077,0.000341077,0.000341077
16,4063.87,0.08929,0.995,1,0.01688,0.000286083,0.000286083,0.000286083
17,4221.64,0.08778,0.9925,1,0.02348,0.000231088,0.000231088,0.000231088
18,4373.75,0.09178,0.99375,1,0.0251,0.000176094,0.000176094,0.000176094
19,4532.66,0.0853,0.99375,1,0.01967,0.000121099,0.000121099,0.000121099
20,4688.66,0.08218,0.99375,1,0.01941,6.61045e-05,6.61045e-05,6.61045e-05
